client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
a90d6871e929ab9ea0306f7cdb249ea4373c3b6e4f61242a382e7c635ef35afa6d8c683ba41fb4e107e205dfd18792df56f428e525c1457a4356a5c2e41ab732	common_voice_tr_18235091.mp3	Proje yirmi milyar dolara mal olacak.	1	0	twenties	female		tr	
ee294297b901732ebbd0815fdfd4fa965a0de3040bfe373d15a5e1e8d003cadf93ed24b1e62b377089fd0a8ebc86ff79510994f4cd0ff1caf8059065c21a7a73	common_voice_tr_18349970.mp3	Neden on yıldan uzun bir süre bunun olmasına izin verildi?	1	1				tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377027.mp3	Makedonya ise dokuzuncu Grupta üçüncü sırada yer alıyor.	1	0	thirties	male		tr	
1d55a9bf8d1d3dd37c960ab669bce073147fb9aee220904faa8e50cb0df4919b5b60b074944ab76e236abcb30c8cb9d8733c59c164c740f17ebac181adc66ee2	common_voice_tr_18377184.mp3	Yeni meclis ilk oturumunu gerçekleştirdi.	1	0	teens	male		tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377256.mp3	Ailenin her ferdine birer dilim dağıtılıyor.	1	0	thirties	male		tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377285.mp3	Temel haklara saygı gösteriliyor.	1	0	thirties	male		tr	
ab69353623c69f0ddbb9f4a2c51b6357d6c49371dae98e9ac33dbb8555c1b2037d19335403a9b843a649af8484e18363d014516095078ea031c18d3f71452f97	common_voice_tr_18378418.mp3	Parti, Türkiye'deki seksen bir ilin elli sekizini ele geçirdi.	1	1	thirties	male		tr	
ab69353623c69f0ddbb9f4a2c51b6357d6c49371dae98e9ac33dbb8555c1b2037d19335403a9b843a649af8484e18363d014516095078ea031c18d3f71452f97	common_voice_tr_18378451.mp3	Bundan cumhurbaşkanı bile etkilendi.	1	0	thirties	male		tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379804.mp3	Herhangi bir şeyi kanıtlamak mümkün mü?	0	1	twenties	male		tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379830.mp3	Futbol etnik bölünmeleri aşabilir mi?	0	1	twenties	male		tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379901.mp3	Savaş suçu davaları hâlâ inceleniyor.	0	1	twenties	male		tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379930.mp3	Bu ürün, tanıtımlarında iddia edilen etkileri yaratıyor mu, yoksa bir aldatmacadan mı ibaret?	0	1	twenties	male		tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379946.mp3	Sizce bu sorun yakın bir gelecekte çözüme kavuşabilir mi?	1	0	twenties	male		tr	
ace772ad55e2de2acdd889d3a71159205bbe39f90d8935f743c8184f74d92405592d1aa9f9dd8ccf7824166832cd412becf9443d6ab4c5fd66ed7626714eca09	common_voice_tr_18380000.mp3	Sırbistan'daki bilimsel ilerleme ve başarılara ilişkin değerlendirmeniz ne yönde?	0	1				tr	
e910d97c2553059218bf6840172891d367db2881f268dac95ff2a7f963355451d6fdbdf3ac357a51d3dd33c30bb5b9cd0b9944ab45a57ba18cd36533af2734c3	common_voice_tr_18393336.mp3	Doğrusu benim için hoş bir sürpriz oldu.	1	1	twenties	male		tr	
e910d97c2553059218bf6840172891d367db2881f268dac95ff2a7f963355451d6fdbdf3ac357a51d3dd33c30bb5b9cd0b9944ab45a57ba18cd36533af2734c3	common_voice_tr_18393345.mp3	Bu şekilde bir aşırı görüş diğerini besliyor.	1	0	twenties	male		tr	
