client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
ac0a3bd6ecd0d819ae81b605c40b5e47bef31cc781dfdb8938088ac95f222f92bde0cb419f29ab836be9bb6300cbfa0cec3a65e2ebc9ea008ab620a9fd05df1c	common_voice_kk_24613678.mp3	Адасқанның айыбы жоқ, қайтып үйін тапқан соң.	0	2				kk	
594819d0419bb555d53b65fd31462c0a3f4a36cde20ea7d57bd3e31aa6110786847d23898261f088022f8a3d5db81ae9d390d5c504ba0f5e4af7fc8e128e34e4	common_voice_kk_24623606.mp3	Қонақ бір күн қонса — құт, екі күн қонса — жұт.	1	2	thirties	male		kk	
594819d0419bb555d53b65fd31462c0a3f4a36cde20ea7d57bd3e31aa6110786847d23898261f088022f8a3d5db81ae9d390d5c504ba0f5e4af7fc8e128e34e4	common_voice_kk_24623607.mp3	Ердің сыншысы — елі.	1	2	thirties	male		kk	
1c921199fe8645b357a0e5d818d50c8f0c37d8378e965bb5fdf95cf77d6c618222ddd8abeea414644f367a0e5530973117e829f8936138099d6dc81ed19cbdaf	common_voice_kk_24667421.mp3	Тай тулап үйірінен кетпес.	1	2	twenties	male		kk	
1c921199fe8645b357a0e5d818d50c8f0c37d8378e965bb5fdf95cf77d6c618222ddd8abeea414644f367a0e5530973117e829f8936138099d6dc81ed19cbdaf	common_voice_kk_24667422.mp3	Жуас тананы падашы мінеді, жуас адамды әркім іледі.	1	2	twenties	male		kk	
1c921199fe8645b357a0e5d818d50c8f0c37d8378e965bb5fdf95cf77d6c618222ddd8abeea414644f367a0e5530973117e829f8936138099d6dc81ed19cbdaf	common_voice_kk_24667423.mp3	Бір тәуекел бұзады мың қайғының қаласын, бір жақсы сөз бітірер мың көңілдің жарасын.	1	2	twenties	male		kk	
1c921199fe8645b357a0e5d818d50c8f0c37d8378e965bb5fdf95cf77d6c618222ddd8abeea414644f367a0e5530973117e829f8936138099d6dc81ed19cbdaf	common_voice_kk_24667439.mp3	Негізі арықтан семіз шықпас.	0	2	twenties	male		kk	
d52bfb2c2e69b5ad5ad007eaf7f780738ae789fd2eceeb5f22f001f3d46ff2a95b0db7f6330800b72fbe4632884e4e79244d266d51f7b7f87c3ca1ddab5a1b8d	common_voice_kk_24741460.mp3	Көңілі қарау жолдасынан айырылады, көп жасаған құрдасынан айырылады.	0	2				kk	
d52bfb2c2e69b5ad5ad007eaf7f780738ae789fd2eceeb5f22f001f3d46ff2a95b0db7f6330800b72fbe4632884e4e79244d266d51f7b7f87c3ca1ddab5a1b8d	common_voice_kk_24741461.mp3	Мақал — сөздің атасы, уәде — ердің опасы.	0	2				kk	
065741e37017976328173cbab7b3755ddbd236f086f41c4096cb7c5e101cc6c7567774e952673b58b1712a3a0a07ec71aa6576c395f9aa9117d74bd88c221a89	common_voice_kk_24763019.mp3	Түйенің танығаны — жапырағы.	0	2				kk	
20199da15014dfe04b75def683a516e1b8799217743b8bf73bc1752b0b65fd73ab631b072b5bc040534f6819c459d07e31503339a8e51672cb1e0039dceb3cd9	common_voice_kk_24969855.mp3	Жақсы сөз сүйіндіреді, жаман сөз күйіндіреді.	0	2	twenties	male		kk	
20199da15014dfe04b75def683a516e1b8799217743b8bf73bc1752b0b65fd73ab631b072b5bc040534f6819c459d07e31503339a8e51672cb1e0039dceb3cd9	common_voice_kk_24970078.mp3	Қанды қанмен жумайды.	1	2	twenties	male		kk	
