sentence	sentence_id	locale	reason
Усҟан ицқьоу анышә ахь шәеиха теиеммум ҟашәҵа, шәнапала анышә шәнасны шәҿи шәнапи иахьышәшь.	1462f41fe49ba30b7ab70e0013dfacb488b946fbc4f910ffc750a0f960e01707	ab	grammar-or-spelling
Урҭ рыбжьара руаӡәы, мамзагьы рҩыџьагьы, рықәрахь ианнеилак, уф! ҳәаҵәҟьа роумҳәан!	00401f932f197d6b67fbd70edb7a28e8139e4428ca6b46698e174625dbbd64fd	ab	grammar-or-spelling
Амшын аҟны ашьхақәа реиԥш иӡсаны ицо аӷбақәагьы уи имчра аршаҳаҭгақәа иреиуоуп.	295c4432550896e7fc58fe3040732fe221539befc41ad210375b73c6a07d34c9	ab	grammar-or-spelling
Уи адгьы ишәычҳа, ҳәарада, Аллаҳ акырзычҳауа дрыцуп.	15eeb0b9ed4a01c33d92cc135cbaf5235e310a9c89f473b2dfdc0b95a5382788	ab	grammar-or-spelling
Ари Аҟәырҟан, уи ихы иҭиҳәааз мцуп, даҽа шьоукгьы абри аҟны иара ицхырааит.	212ef07ca79950c5a04ee36d13b692c3d3de2d235946fb14f073d45dec56f964	ab	grammar-or-spelling
Избанзар, уи Аллаҳ имҩа аныҵроуп, иаанаго уи иҿагыларауп.	022cdd6a8ee175494dba36f1b9104378cf11fa85402112667ed4af9e54edde08	ab	grammar-or-spelling
Ауааԥсыра рыԥсы рхаҵаны џьарак реизгра акәзар, ҳара ҳзы имариоу усуп.	0d514d81c91d300638adf646d97c9d4c85b9124e949fbe7b1c79e6db2357c08d	ab	grammar-or-spelling
Аллаҳ урҭ имыргәҟӡеит, дара рхала рхы дыргәаҟит.	332da72857191b91db63f324f182bc0426ec79c74371636a535c068d9c4f17f6	ab	grammar-or-spelling
Амра зымбац акәҭаӷь еиԥш ишкәакәаӡа игылоуп.	2f0548636bcbba7771f663bb8d1c3973fc3a7c05f78a5cfc16b2a0f313b7744f	ab	grammar-or-spelling
Аиашазы, ҳара ауаҩы иеицылаз цәыкәбарк далаҳхит, дԥаҳшәарц азгьы уи иаҳауа, ибо дҟаҳҵеит.	328958f5df8f0d705a5a2b7cbca84cf866025a48626d39535a31b1142129ed89	ab	grammar-or-spelling
Аллаҳ иҟалашагьы шәеиҳәашам. Амала иԥааимбарцәа руаӡык далихуеит иҟалаша уи ирдыруеит.	36fd8d0bee32d8d1d8a053d720292116e27d67ebb3679de656999831cfeb8e34	ab	grammar-or-spelling
Аха ҳаршаҳаҭгақәа зегьы имцны ирыԥхьаӡеит, ҳаргьы, урҭ иҳараку, насгьы амч змаҵәҟьоу ишихәҭаз ала иақәаҳкит.	251a3876aea346df1abfb56377f1f64ad58b837f02ce4cd46f92887d999882ce	ab	difficult-pronounce
Шәнамазқәеи, ҷыдалагьы абжьаратәи анамаз, иагмыжькәа ишәкы, гәык ала Аллаҳ иҿаԥхьа шәгыл.	385afc66b20b6cc1edbccff5c723b00b2fa50df88ae96bb428473c63eaec9cdc	ab	grammar-or-spelling
Шәанацәеи, шәҭыԥҳацәеи, шәаҳәшьцәеи, шәаб иаҳәшьцәеи, шәан лаҳәшьцәеи ԥҳәысс ргара шәзыҳарамуп.	1bbbb321e09f7c46d9bdfd1649a52ac14062edfc2ae6afcc154209ebadf2a6c5	ab	?????????, ???????????, ???????????, ???? ??????????, ???? ?????????? ?????? ????? ???????????.
Аллаҳ иргәаҟра, иаалырҟьаны, насгьы иаартыҵәҟьаны ишәзааир, игәымбылџьбаҩу жәларык рыда уаҳа иқәӡаараны иҟада?	153d92dba83966dc6c274ee3dec6a92e6f62ce597faa82bcf216a6141cc4be0d	ab	grammar-or-spelling
Азхаҵаҩцәа ааныжьны азхамҵаҩцәа ҩызас ишьҭырхуеит.	274a6164d915f3042ae1923c892e480759da7dc342315b3cb5ed07b0dcfd83aa	ab	grammar-or-spelling
Азхаҵаҩцәа ааныжьны азхамҵаҩцәа ҩызас ишьҭырхуеит.	274a6164d915f3042ae1923c892e480759da7dc342315b3cb5ed07b0dcfd83aa	ab	?????????? ???????? ??????????? ??????? ???????????.
Уара ашьхақәа рзы иуазҵаауеит. Сынцәа урҭ иццышәны иқәиҵашт ҳәа.	1f33b0c31c2f44aea6e888b2e9109b069ca670ee35349e2398b4238018c69569	ab	???? ???????? ??? ???????????. ???? ?????: "?????? ??? ???????? ????????".
Иҵабыргыҵәҟьаны, ҳара ажәҩан аҟны еҵәаџьаа аԥҵаны, иахәаԥшуа рзы уи ҳарԥшӡеит.	35fe4fcb43eedde799459442c779a2403b34fc83c7e4e3731702b2d042a1e286	ab	grammar-or-spelling
Иҵабыргыҵәҟьаны, ҳара ажәҩан аҟны еҵәаџьаа аԥҵаны, иахәаԥшуа рзы уи ҳарԥшӡеит.	35fe4fcb43eedde799459442c779a2403b34fc83c7e4e3731702b2d042a1e286	ab	???????????????, ???? ?????? ???? ???????? ?????? ????????? ???, ?? ?????????.
Ари Аҟәырҟан, уи ихы иҭиҳәааз мцуп, даҽа шьоукгьы абри аҟны иара ицхырааит.	212ef07ca79950c5a04ee36d13b692c3d3de2d235946fb14f073d45dec56f964	ab	grammar-or-spelling
Ари Аҟәырҟан, уи ихы иҭиҳәааз мцуп, даҽа шьоукгьы абри аҟны иара ицхырааит.	212ef07ca79950c5a04ee36d13b692c3d3de2d235946fb14f073d45dec56f964	ab	??? ????????, ?? ??? ???????? ????, ???? ???????? ???? ???? ???? ????????.
Ииашаҵәҟьаны, Аллаҳ, аӡәгьы ицхыраара иазрыцҳам, арҽхәаԥхьыӡқәагьы зыхәҭаҵәҟьоу иоуп.	35527a992e3121c7517499022c889fc5e72440ba9a8f9be81ba391cdb56a62eb	ab	grammar-or-spelling
