client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
f2cab706b0967af223c7a9578f3ad82b5bfb2dd6589903bec8f9d8112d1c0f977a56f50e265eb422d8fed52fe9978c30b5a926d445fc37d7897efb81819980da	common_voice_ab_22294176.mp3	Зегьы иҿаԥхьа ҳаҭырла ихырхәеит.	1	0	seventies	female		ab	
f2cab706b0967af223c7a9578f3ad82b5bfb2dd6589903bec8f9d8112d1c0f977a56f50e265eb422d8fed52fe9978c30b5a926d445fc37d7897efb81819980da	common_voice_ab_22295896.mp3	Ҳара Аллаҳ дҳазхоит, уи шаҟа дыгәрагаҩы ԥшӡоузеи!- рҳәеит.	0	1	seventies	female		ab	
f2cab706b0967af223c7a9578f3ad82b5bfb2dd6589903bec8f9d8112d1c0f977a56f50e265eb422d8fed52fe9978c30b5a926d445fc37d7897efb81819980da	common_voice_ab_22295921.mp3	Ашьацрагьы аҵлақәагьы иҿаԥхьа ихырхәоит.	0	0	seventies	female		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25979549.mp3	Насгьы, иазыԥҵәоу аамҭазы, Аллаҳ разҟыс ириҭаз, аӡатәқәа уи ихьӡ ҳәаны иршьырц азы иааиааит.	0	0	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25979552.mp3	Хымԥада, иаӡәу, насгьы хьаҳәа-ԥаҳәада аҳра иақәиҭу Аллаҳ иоуп.	0	0	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25979554.mp3	Аллаҳи иԥааимбари рҳәатәы хаҵо иқәныҟәо ауаҩы, аӡиасқәа згәылсны ицо аџьанаҭқәа дырҭеиҵоит.	1	0	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25979556.mp3	Хымԥада, Аллаҳ азхаҵаҩцәа ииашаҵәҟьоу амҩа ашҟа икылигоит.	1	1	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25979558.mp3	Нас, сара амапкыҩцәа нақәыскит, иудыруандаз закәытә хьырхәраз уи!	1	0	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25981043.mp3	Амала, уара, унцәа арҽхәаԥхьыӡқәа рыла ихьӡ ырҳаракны, уҽиҭаны, уимҵахырхәа!	1	0	fifties	male		ab	
ee861fe3c5c9e4c7da456e9092560cc454cd126b2eff721aaa56293e33b060fec0ef67aa0d6a8992f1dc968b0212c3c924650469d4046d3f1155cd7c58bf7590	common_voice_ab_25981044.mp3	Аха, уаҟа Луҭгьы дынхоит!- иҳәеит Ибраҳим.	0	1	fifties	male		ab	
