sentence	sentence_id	locale	reason
Элчилик менен түз байланышка чыга алган жокпуз.	6b3cbccbfc953d88d74a79f55e647bc1d3b8d364e6c6c152a29a96b0ea138a6d	ky	grammar-or-spelling
Азырынча өрттүн келип чыгуу себептери белгисиз, жабыркагандар жок.	d1b2e05e76b9aebc7c53e23629bf277ca9cd8b91dc4c9412381cc1a77d3c492f	ky	different-language
орг аталган гезитке шилтеме жасап жазып чыкакан.	9790e1d91f3c348cec8c4a4be64bf2e2a56df9a18051d4a92b8c382149015fa8	ky	grammar-or-spelling
Ничто не сможет испортить дружбу между двумя братскими народами!	c0a58c7489c5d94d1bb0e3c3fc799f67e34b2bab24dab7792fd6d7182f673517	ky	different-language
Инстаграмда видеочыгырык жарым миллондон ашуун жолу көрүлгөн.	ed04a1e6358a0cbdc6c17c80a150d827f025026c5a06bacda7985d9b036812ac	ky	grammar-or-spelling
Бирок баары бир эркектерге караганда аялдарда акча болбойт экен.	06497fc502ec47fc4fef3db59ff873d008ca6e84b20b31610dc8b5011769f2fa	ky	offensive-language
Үйү жокторго таза кийим жана ысык ванна берилет.	f927968416d93b1e05e659d54b41f60e679770ce3e9b345b2be3e6c8129330d3	ky	grammar-or-spelling
Аларга ссуда, акча, жер тилкеси берилген.	10e8d9cb88b8c40d4d5b266d4193a41242959cf110a2c8e04fc17a290b3f1e00	ky	grammar-or-spelling
Кечээ анда мен таптакыр болгон эмесмин.	db35d8745a8d7ff00964b919161417f2f6fd7c66590efcd9c398179cf1406eeb	ky	grammar-or-spelling
Имарат түнкү клуб, казино катарында пайдаланылып келинген.	f010ae22fce1303efe0940fec45fdb14f830cb2df800394ece7d1792c5e50de7	ky	grammar-or-spelling
Анын солгун аракет минанын эффектиси бар.	10d71a0aba2927583b9592bc783b333317248c030baca133088ab7724dc3912a	ky	grammar-or-spelling
сомдон ашык акча алган.	f0ed49993a967a4603b68ef2fe1681766ceefe368c07ca40a3dadfa9f2d7ab5d	ky	grammar-or-spelling
Майып болуп калса эмне болот трамва алып?	ff11183c0e74f21203c08bfd39ff5b825da24651d99280dbf4b2302900125216	ky	grammar-or-spelling
Джиптер — чынында эле алар жол тандабаган автоунаалар эмеспи.	143e408b2d0846a3539ffa752186dbdbde28aadaf6282490924f3b824eb0a673	ky	grammar-or-spelling
акцияны максатка ылайык эмес чыгарууга айыптаган.	05667b557ec96fe48559cad09c4d6eb62f53089468551fec8cbcffd6bbd3e14a	ky	grammar-or-spelling
Алардын кимиси менин болочокогу күйөөм экенин билген да эмесмин.	1ccc78fddcf400d597b89d8e79f7591d9d2ae9cfcc3b9aa28f20e97405401468	ky	grammar-or-spelling
Дүйнө жүзү боюнча ырааттуу тездеткичти бир нече өлкө өндүрөт.	1d7ae9156df35fbc6b9a5d82fcd6063f4b58e02581fc91528615cd30904d2678	ky	grammar-or-spelling
Активисттер Албек — отун кыйгыч, Биз таза шаар үчүн!	2575f6dfb4f0855d739c0ffcc6721c1e3a1495c0379378dc71e80a5239aa7e47	ky	grammar-or-spelling
Не выяснив ничего,не зная о подробностях судить очень даже легко.	185b330efa4bc7ae891ba8b819808a56152f0eb154966c6a9694192d4d03b499	ky	different-language
Журналист үйүнөн чыгып, унаа менен бир канча ондогон метр жүргөн.	e3422901b9d04250d08b2054cbb088b0648d99185d6c08f2c7fab5546ae9bc8e	ky	grammar-or-spelling
Ал төрт жылда бир мундиаль кожоюнунун өлкөсүндө өтөт.	ee0e9b3236e67484f938914300b5d2f5eeaa4a03566f212a2401c4b1f3ee07e6	ky	difficult-pronounce
Ал төрт жылда бир мундиаль кожоюнунун өлкөсүндө өтөт.	ee0e9b3236e67484f938914300b5d2f5eeaa4a03566f212a2401c4b1f3ee07e6	ky	grammar-or-spelling
Учурда мыйзам долбоору мамдумада алдын ала кароодо жатат.	147f53844d43875b7467ef9dc9d0f0b1e61a09137e167b86542307ab7427ddd9	ky	grammar-or-spelling
Биз бул боюнча эми эле угуп жатабыз.	2ece053e069e5c02bf74bdc7aec73274ba244ee6d3558fde97a1b7c6d4ce9865	ky	grammar-or-spelling
Эки жыл аралыгында С.	dfd669fe0e18ba2903b9d9d280d0ea34822298476431f3020549b0f03b12c736	ky	grammar-or-spelling
Бул эки матчтуу серия.	0eb9a778e6d6d3b5da5643d11679ae6a43a3c132fda3ac91975590b25dfeaafe	ky	grammar-or-spelling
Жума күнү бул жөнүндө бүткүл коллеж билген.	fd0c903e5c2a5f74f25941d39971e355ccae23d1da0b4b15b786fc02037eba9b	ky	grammar-or-spelling
Мейиз — витамин, ал эми жер жаңгак корозду семиртпей жакшы кармайт.	0fd73a50e27dd994d072a95dec88b80c05c5ac9d9d5199787cbc9de110be570e	ky	grammar-or-spelling
Кубого узатылган топ да кыргыз курамасынын колунда болчу.	33490dfa47f4a74b8d6d2f4c22726979b4bb9512d12aed2f4bed31a46f72d26b	ky	grammar-or-spelling
