sentence	sentence_id	locale	reason
Бүтән көндәге кеүек беҙҙең менән уйнаманы ла.	06634008b2260c829a7cbb941a8b19205e8b951be07e099c0152e57e188c0741	ba	difficult-pronounce
Беренсенән, санэпидстанция ундай аҙыҡты ашатырға ҡушмай.	05d87039a5993c14bd8e2fa4d666949f4830e45efda83b6f75c875aae01f970d	ba	?????  ??????  ?????
Тегеһе ике- мәнеп торманы, һаҡлыҡ менән генә Бибинурҙы ҡосаҡлап алды	0aa15870227b2cc66b450d5cd0c73c20b48c7ee46fc426c323a5fab8448092ef	ba	grammar-or-spelling
Икеләнеп ҡалғдн Арынбаҫаров нишләргә лә белмәне	049136cb04519c3927bcb5946a38ac7715fc6b5ec1426bce6b295feb795b56be	ba	grammar-or-spelling
Суртан барыбыҙға ла етәсәк.	14ed3feeefa6b533e3b37a14d8d3139a7b4a076d07f59d340c9961a5e04660ac	ba	offensive-language
Былай ҙа билһеҙ кеше, ауырый­ һың да	14b35f55399968ff344d2d71b2e4b721521c1c73a37b788b1b739b2647f6a263	ba	grammar-or-spelling
Өйҙә имен бер нимә лә ҡалмаған.	1232e18b10391da36e1659f47fc74bb3d73809a47bd0262bde0a6a8687a7a749	ba	grammar-or-spelling
Күҙҙәре нисектер төҫһөҙләнеп киткәйне	079e097872a6490633781dc11d62c7569b7084b8f34a147134dfab66c9d05e4f	ba	grammar-or-spelling
— Йә, Ильяс, һин ҡайҙа уҡырға теләйһең?	050c99ce7935a157cc3c2a4b9a474612a84aa948908d8488c1833e1ff17efbd5	ba	grammar-or-spelling
Һәр кемгә икешәр ҡоймаҡ, берәр ус кәнфит эләкте.	17de8cf9492032b5aa5ada4f566e843200d00bd1ecddf4be07f54a1bfb9b1120	ba	grammar-or-spelling
Күҙҙәре нисектер төҫһөҙләнеп киткәйне	079e097872a6490633781dc11d62c7569b7084b8f34a147134dfab66c9d05e4f	ba	grammar-or-spelling
Яуап булманы.	240a2346b4f0e9dd435bbcf109dabeb373385c0433edf2e071a485e317a3e4d3	ba	offensive-language
Фәрит менән мәктәптән ҡайтып киләбеҙ.	2fa4db1f58f6e95e27c00c7100094dcbb59ee2ae727f94857629eb8d76552dae	ba	difficult-pronounce
Әлеге дуҫтар нрҙам итте инде	44c006d0ede33726e9338602ca48f5041e6a1c3b93e8e541e2d259343d075bb4	ba	grammar-or-spelling
Щтлы осрашыуҙарҙы хәтергә төшөрҙө	093e6b771bfe8edbf1be5f2a170a6b7ecc59476aa06064d84821bc31a9169045	ba	grammar-or-spelling
— Ҡ ара һин уны	3859afeb19c8f8011e4383c5d397f6dfb88964b2fdfaf80c3a8a6453279d8ea8	ba	grammar-or-spelling
Яҡын туғаны һымаҡ ҡосаҡлап алды	387b6f2f0fc59890078ebec64cd8b618b41ec12991168c3154ed84db2fb4a07c	ba	grammar-or-spelling
Мине институтта лек- нпялар көтә	42ebe5c0c911c713c39313565b996d7ce39bf1a599e69542e0fdce1fb385e684	ba	grammar-or-spelling
Күп тә үтмәне, ел-дауыл һымаҡ, бер ир килеп инде	3cf859b0bd2ffd53117b251f693d7e4371c2f503da0f1342643a1cdbe94f141e	ba	offensive-language
Ҡағыҙ яндырғанда көслө ялҡын сәскә лә бәрелде.	3bc111e5e02596b5619ff18d18917a115e290cde06ac3e2703816449ca3d9222	ba	different-language
Әмилә лә уянды.	493a4e337ea94df5c49bab8d63a8b6a1216962ffb0e486b4aee8de0224590c68	ba	??? ???? ????????.




— Тор­ моштоң, хәйер, минең өсөн еңел булғаны ла юҡ инде	4d0a0867f7f920931c9dd8343e9f73cc0fff980c7c2270ee2dab4a7e6542d78b	ba	offensive-language
— Тор­ моштоң, хәйер, минең өсөн еңел булғаны ла юҡ инде	4d0a0867f7f920931c9dd8343e9f73cc0fff980c7c2270ee2dab4a7e6542d78b	ba	different-language
