sentence	sentence_id	locale	reason
Ӗҫтешӗсем те Афган ветеранӗсем пулнӑ, пӗр-пӗринчен вӗреннӗ.	520650a896ff2e09d017fd6f4d2c8c5c476013d6156c578d05ef3691a3a2b9de	cv	difficult-pronounce
Иккӗ пулма пултарсан вара виҫҫӗ те, тваттӑ та, пиллӗк те...	3f44f2d3a5ecfc50b1c9dfbb6aaf7d343a777ba6432694f808a0cf21a3a72671	cv	grammar-or-spelling
Иккӗ пулма пултарсан вара виҫҫӗ те, тваттӑ та, пиллӗк те...	3f44f2d3a5ecfc50b1c9dfbb6aaf7d343a777ba6432694f808a0cf21a3a72671	cv	grammar-or-spelling
Вырсарникун кӑштах ашӑрах пулӗ, нимӗн те ҫумӗ.	5c4dde9eff9d1fb087e89fc13525073599f9e5a75e10f59fe29f9a89ec1cf092	cv	grammar-or-spelling
Фанфурик сутса чарнӑ хыҫҫӑн спиртлӑ шӗвексем чӑнах та сахалрах сутӑннӑ.	83ab33ca0888ea11f5dad35dba627b26cd1636ce47aad9000a0efb7e048ea7cc	cv	grammar-or-spelling
Сӑмах хаклӑ йышши тренажерсем пирки мар.	897477f4a8802c3ebde009b5c3269a8b8a354e5e3460b286cefe957a89071faf	cv	??????????? ??? ????? ç???? ?????
Епархи «Матильда» фильма прокартра илтересшӗн.	20c1a49651ba42412aaf997679a2499df097a0cfa993b5e169dd0986d310e043	cv	grammar-or-spelling
Чӑваш Енри паллӑ сӗрме купӑсҫӑ ачаранпах халах инструменчӗсене итлсе ӳснӗ.	c7e147ed39da6f77c783d53af00d7afe698b62cd9b231a8ad2cf481f8bc97ff6	cv	grammar-or-spelling
1-мӗш троллейбус Промтраткор патӗнчен 22.55 сехетре кайӗ.	7ede27ed3b2b9ad61e4a55708078f0133b6f67e1939e57cd64e5a8eb5488a297	cv	????? ????????? ????....
Ҫав кун Сергей Тихонов мунче кӗме кайнӑ.	991fec32fb989fd6a913a307b2d8554371a9de992d9a7db022dc7cb555e78d3f	cv	grammar-or-spelling
Латиница ҫину куҫасси пирки Казахстанра 2012 ҫулта калаҫма тытӑннӑ.	c39dd801a8870df93fed8162a33feba43cd6193c6baf2f85469bdefc8ec43fa9	cv	grammar-or-spelling
